date,temperature_c,ph,turbidity_ntu,conductivity_us_cm,dissolved_oxygen_mg_l,nitrate_mg_l,phosphate_mg_l
2024-01-01,19.6,6.55,1.7,333.9,12.4,1.35,0.446
2024-01-02,11.3,7.34,0.6,331.2,10.1,0.05,0.099
2024-01-03,19.7,7.59,1.5,553.6,13.1,0.01,0.403
2024-01-04,20.5,7.18,1.2,774.3,8.4,0.19,0.048
2024-01-05,22.7,7.71,4.1,637.8,10.4,1.95,0.189
2024-01-06,18.3,8.16,3.3,717.0,10.8,1.41,0.023
2024-01-07,13.4,7.08,0.9,339.7,6.0,0.56,0.318
2024-01-08,15.5,7.24,1.4,360.2,14.4,1.3,0.305
2024-01-09,12.6,7.96,1.2,427.7,14.9,1.28,0.278
2024-01-10,20.3,8.19,4.0,337.4,5.3,0.63,0.134
2024-01-11,13.2,8.39,4.4,388.8,11.6,0.79,0.457
2024-01-12,16.9,7.03,1.6,536.8,7.6,1.17,0.449
2024-01-13,16.0,6.94,5.0,505.7,5.9,0.09,0.055
2024-01-14,19.4,8.08,2.4,238.1,8.8,1.99,0.265
2024-01-15,24.6,8.22,0.6,632.4,11.8,1.07,0.133
2024-01-16,19.6,6.72,2.5,472.2,14.5,1.75,0.132
2024-01-17,17.5,6.86,4.6,722.3,8.0,1.28,0.304
2024-01-18,12.3,8.03,2.9,667.2,10.3,0.0,0.162
2024-01-19,10.3,8.36,4.5,699.0,8.1,0.12,0.439
2024-01-20,24.2,6.67,2.7,241.5,12.6,1.53,0.064
2024-01-21,17.1,7.6,1.7,723.5,9.2,0.42,0.27
2024-01-22,20.9,6.9,1.9,797.1,11.5,0.88,0.259
2024-01-23,11.8,6.95,2.0,553.0,7.3,0.44,0.035
2024-01-24,19.5,6.96,4.6,715.8,5.7,0.48,0.334
2024-01-25,13.2,6.76,4.7,542.6,9.7,1.57,0.404
2024-01-26,12.9,6.69,2.4,454.1,9.7,1.46,0.337
2024-01-27,24.8,6.7,2.3,403.6,13.6,0.5,0.095
2024-01-28,16.7,7.34,1.8,349.9,14.2,0.89,0.431
2024-01-29,18.3,6.6,5.0,701.6,14.7,1.85,0.424
2024-01-30,12.5,7.47,1.5,440.6,5.6,0.76,0.493
2024-01-31,14.0,8.07,2.5,453.8,14.6,1.99,0.278
2024-01-32,20.8,6.81,1.8,781.2,10.8,1.08,0.374
2024-01-33,10.9,7.67,2.8,711.6,6.6,1.92,0.04
2024-01-34,12.8,7.69,3.5,341.1,6.2,1.78,0.123
2024-01-35,18.9,7.74,2.4,550.2,10.2,1.87,0.102
2024-01-36,20.7,6.98,2.3,603.0,8.0,0.63,0.376
2024-01-37,11.1,7.42,5.0,797.7,5.7,0.43,0.133
2024-01-38,24.0,8.26,4.5,421.7,6.6,1.67,0.352
2024-01-39,19.2,8.47,3.4,204.7,13.2,0.6,0.332
2024-01-40,24.1,6.77,1.0,264.2,10.5,0.54,0.302
2024-01-41,20.8,6.91,3.4,358.4,9.9,1.81,0.423
2024-01-42,11.4,7.35,1.7,202.1,12.7,1.27,0.131
2024-01-43,21.1,7.6,2.4,205.8,5.8,1.77,0.452
2024-01-44,18.2,8.17,3.1,288.9,6.3,0.62,0.449
2024-01-45,21.9,8.22,4.5,326.0,7.5,0.21,0.39
2024-01-46,23.3,7.31,3.3,292.7,14.3,1.73,0.488
2024-01-47,22.2,8.26,0.6,641.9,8.3,1.86,0.401
2024-01-48,23.0,8.12,1.7,672.4,6.1,1.74,0.429
2024-01-49,13.3,8.13,2.6,383.1,13.0,0.46,0.012
2024-01-50,12.9,7.16,4.4,780.1,7.8,1.28,0.2
2024-01-51,24.7,7.57,4.7,269.2,14.7,0.36,0.481
2024-01-52,14.0,6.72,2.5,637.1,8.1,1.21,0.256
2024-01-53,15.8,7.65,1.6,625.3,5.0,1.85,0.269
2024-01-54,20.8,7.98,3.5,418.5,5.7,1.33,0.165
2024-01-55,14.7,8.2,3.7,380.2,8.1,0.82,0.201
2024-01-56,14.4,6.75,2.4,764.2,11.8,1.81,0.308
2024-01-57,14.5,7.6,0.5,372.1,9.3,1.16,0.327
2024-01-58,17.0,7.38,1.5,483.9,14.0,1.59,0.085
2024-01-59,11.3,7.53,3.3,401.1,13.2,1.5,0.336
2024-01-60,13.4,6.9,0.6,346.9,9.8,1.7,0.036
2024-01-61,16.2,7.76,1.4,617.8,9.9,0.49,0.328
2024-01-62,10.1,8.0,4.0,264.0,9.3,0.35,0.479
2024-01-63,17.8,6.6,1.6,709.0,9.6,1.6,0.334
2024-01-64,24.8,7.69,4.8,734.9,11.1,1.44,0.252
2024-01-65,22.5,7.6,4.5,646.2,9.7,0.52,0.124
2024-01-66,19.6,8.03,2.8,576.0,7.7,0.15,0.143
2024-01-67,14.1,7.14,2.9,283.0,7.3,1.39,0.353
2024-01-68,11.0,7.32,2.9,449.5,7.1,0.84,0.452
2024-01-69,18.8,7.89,4.4,659.4,8.8,0.01,0.176
2024-01-70,21.3,8.21,4.8,451.4,12.5,1.09,0.302
2024-01-71,13.3,6.94,2.5,217.4,8.4,1.36,0.202
2024-01-72,12.5,7.43,1.1,573.4,5.3,0.79,0.282
2024-01-73,10.4,7.79,1.1,477.0,5.5,0.76,0.106
2024-01-74,14.9,8.02,2.2,651.2,13.3,0.5,0.041
2024-01-75,10.3,7.58,5.0,410.0,11.5,1.56,0.326
2024-01-76,21.3,8.4,1.4,212.2,6.5,0.25,0.335
2024-01-77,18.5,6.94,3.6,660.1,6.7,1.21,0.374
2024-01-78,11.7,8.14,4.8,264.9,5.3,0.62,0.339
2024-01-79,24.4,7.29,3.7,245.6,11.9,1.25,0.051
2024-01-80,21.6,8.2,3.2,272.6,14.8,1.57,0.174
2024-01-81,16.4,7.24,2.8,404.7,13.5,1.64,0.053
2024-01-82,24.4,7.77,4.2,624.4,9.4,1.47,0.483
2024-01-83,14.1,8.12,2.9,490.1,9.4,1.46,0.134
2024-01-84,22.8,8.16,0.9,729.0,7.4,0.93,0.305
2024-01-85,15.7,6.56,4.3,309.1,7.1,1.6,0.17
2024-01-86,23.2,7.9,1.7,206.1,14.5,0.17,0.36
2024-01-87,17.3,8.02,3.6,587.5,9.9,1.59,0.047
2024-01-88,13.3,7.88,1.9,548.9,9.7,1.06,0.213
2024-01-89,21.2,7.16,3.7,362.5,7.5,0.24,0.096
2024-01-90,11.8,7.57,3.9,311.1,7.2,0.97,0.362
2024-01-91,24.6,7.55,1.8,260.3,6.9,0.45,0.09
2024-01-92,10.2,7.57,1.7,784.6,10.5,1.39,0.063
2024-01-93,23.0,7.48,4.4,544.4,9.7,0.88,0.092
2024-01-94,10.8,8.38,2.6,693.3,9.0,0.15,0.315
2024-01-95,10.8,6.8,3.0,382.3,14.9,0.24,0.382
2024-01-96,19.1,8.08,1.5,513.5,9.5,0.89,0.43
2024-01-97,24.9,7.11,3.3,565.8,12.4,1.9,0.104
2024-01-98,13.2,7.82,1.2,304.3,5.8,0.01,0.225
2024-01-99,18.9,7.08,1.5,624.2,12.0,0.91,0.344
2024-01-100,23.9,8.08,3.3,596.7,14.3,0.85,0.272
